time_ms,iso,ETAT_VERROUILLAGE_DEVERROUILLAGE_CALCULTATEUR,ETAT_PROGRAMMATION_ANTI_DEMARRAGE,PB_TRANSMISSION_CODE_DEVERROUILLAGE,OPTION_APPAIRAGE_CHOISIE,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,APP_POS_MINI_PEDALE_1,APP_POS_MINI_PEDALE_2,APP_POS_MAXI_PEDALE_1,APP_POS_MAXI_PEDALE_2,ETAT_APP_BUTEES_PAPILLON_MOTORISE,BESOIN_APPRENTISSAGE_BUTEES_PAPILLON,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_1,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_2,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_01,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_02,ETAT_APP_DEPH_AAC_ADM,VALEUR_APPRENTISSAGE_BUTEE_BASSE_DEPHASEUR_AAC_ADMISSION,STATUS_PREMIER_APP_DEPH_AAC_ADM,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC,ZAPVNUMBER,SIGNATURE,DATE,MILEAGE,ERASETYPE,NUMBERINTERVENTION,DONNES_ADAPT
1788498146153,2026-09-04T09:02:26.153,0.0,4.0,0.0,1.0,751.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,16.0,16.0,-17.0,-3.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.1875,-1.3125,-1.875,28.375,-27.1875,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,30.0,1882.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498146500,2026-09-04T09:02:26.500,0.0,4.0,0.0,1.0,748.0,14.100000000000001,93.0,,,,,,,,,,,,,,,,,,16.0,16.0,-16.0,-1.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0625,-1.625,-0.75,28.25,-27.0625,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.5,5000.0,4990.0,4980.0,1.0,1.0,0.0,30.0,1092.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498146937,2026-09-04T09:02:26.937,0.0,4.0,0.0,1.0,751.0,14.100000000000001,93.0,,,,,,,,,,,,,,,,,,16.0,16.0,-17.0,-2.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.1875,-2.25,-2.25,28.375,-27.1875,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4970.0,1.0,1.0,0.0,30.0,1666.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498147330,2026-09-04T09:02:27.330,0.0,4.0,0.0,1.0,757.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,15.0,15.0,-16.0,-5.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.9375,-0.75,-1.0625,28.125,-26.9375,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4970.0,1.0,1.0,0.0,30.0,1475.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498147683,2026-09-04T09:02:27.683,0.0,4.0,0.0,1.0,740.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,16.0,16.0,-17.0,0.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0625,0.0625,-1.25,28.25,-27.0625,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,30.0,1774.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498148048,2026-09-04T09:02:28.048,0.0,4.0,0.0,1.0,752.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,15.0,15.0,-17.0,-4.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.125,0.25,-0.1875,28.3125,-27.125,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,30.0,1705.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498148494,2026-09-04T09:02:28.494,0.0,4.0,0.0,1.0,754.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,16.0,16.0,-17.0,-3.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0625,-1.3125,-1.75,28.25,-27.0625,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,30.0,1436.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498148823,2026-09-04T09:02:28.823,0.0,4.0,0.0,1.0,744.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,15.0,15.0,-17.0,-5.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0,-0.25,-1.9375,28.1875,-27.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4980.0,1.0,1.0,0.0,30.0,1461.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498149210,2026-09-04T09:02:29.210,0.0,4.0,0.0,1.0,758.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,15.0,15.0,-17.0,-5.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0625,-1.375,-1.0625,28.25,-27.0625,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4990.0,1.0,1.0,0.0,30.0,1239.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
1788498149561,2026-09-04T09:02:29.561,0.0,4.0,0.0,1.0,748.0,14.200000000000001,93.0,,,,,,,,,,,,,,,,,,15.0,15.0,-16.0,-5.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.9375,-0.375,-1.5625,28.125,-26.9375,750.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,5.6000000000000005,5000.0,4990.0,4970.0,1.0,1.0,0.0,30.0,1282.0,0.0,255.0,881.0,296.0,0.0,0.0,,,,,
