time_ms,iso,ETAT_VERROUILLAGE_DEVERROUILLAGE_CALCULTATEUR,ETAT_PROGRAMMATION_ANTI_DEMARRAGE,PB_TRANSMISSION_CODE_DEVERROUILLAGE,OPTION_APPAIRAGE_CHOISIE,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC,ZAPVNUMBER,SIGNATURE,DATE,MILEAGE,ERASETYPE,NUMBERINTERVENTION
1788618261192,2026-09-05T18:24:21.192,0.0,4.0,0.0,1.0,896.0,12.600000000000001,80.0,2.58,2.58,2.58,2.58,1.0,0.0,463.0,1.0,0.0,454.0,9.5,9.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.145,0.0,22.0,22.0,-6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,20.0,18.0,8.700000000000001,336.0,294.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,10.0,0.0,0.0,-24.4375,0.375,0.125,29.375,-24.4375,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,33.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4980.0,1.0,1.0,0.0,25.0,1402.0,0.0,255.0,860.0,310.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618261742,2026-09-05T18:24:21.742,0.0,4.0,0.0,1.0,841.0,14.100000000000001,81.0,2.83,2.83,2.83,2.83,1.0,0.0,468.0,0.0,0.0,444.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.129,0.0,20.0,20.0,-11.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,23.0,20.0,9.1,378.0,315.0,3.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,10.9,0.0,0.0,-27.0625,-0.125,0.1875,32.0,-27.0625,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4990.0,1.0,1.0,0.0,25.0,1747.0,0.0,255.0,860.0,313.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618262222,2026-09-05T18:24:22.222,0.0,4.0,0.0,1.0,814.0,14.100000000000001,81.0,2.98,2.98,2.98,2.98,1.0,0.0,454.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.11,0.0,18.0,18.0,-16.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,22.0,21.0,9.1,357.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,9.9,1.0,0.0,-25.5,1.25,1.0,30.4375,-25.5,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4990.0,1.0,1.0,0.0,25.0,1152.0,0.0,255.0,860.0,315.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618262728,2026-09-05T18:24:22.728,0.0,4.0,0.0,1.0,793.0,14.200000000000001,81.0,2.88,2.88,2.88,2.88,1.0,0.0,478.0,0.0,0.0,444.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.097,0.0,18.0,18.0,-15.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,22.0,20.0,8.700000000000001,357.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,9.700000000000001,1.0,0.0,-24.9375,1.3125,1.4375,29.875,-24.9375,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,5000.0,4990.0,4970.0,1.0,1.0,0.0,25.0,1513.0,0.0,255.0,860.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618263255,2026-09-05T18:24:23.255,0.0,4.0,0.0,1.0,768.0,14.200000000000001,81.0,2.87,2.87,2.87,2.87,1.0,0.0,473.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.082,0.0,18.0,18.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,21.0,8.5,378.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,9.8,0.0,0.0,-24.6875,3.5625,2.6875,29.625,-24.6875,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8000000000000003,5000.0,4990.0,4990.0,1.0,1.0,0.0,25.0,1588.0,0.0,255.0,860.0,318.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618263944,2026-09-05T18:24:23.944,0.0,4.0,0.0,1.0,758.0,14.200000000000001,81.0,2.89,2.89,2.89,2.89,1.0,0.0,468.0,0.0,0.0,434.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.063,0.0,17.0,17.0,-17.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,22.0,21.0,8.700000000000001,378.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,9.8,0.0,0.0,-24.5625,4.3125,2.0,29.5,-24.5625,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4990.0,1.0,1.0,0.0,25.0,1586.0,0.0,255.0,860.0,319.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618264386,2026-09-05T18:24:24.386,0.0,4.0,0.0,1.0,754.0,14.200000000000001,81.0,2.94,2.94,2.94,2.94,1.0,0.0,478.0,0.0,0.0,439.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.044,0.0,16.0,16.0,-21.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,23.0,22.0,9.1,399.0,357.0,2.0,2.0,620.0,4360.0,0.0,0.0,0.0,1.0,19482.0,10.200000000000001,1.0,0.0,-24.375,3.625,3.0,29.3125,-24.375,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4980.0,1.0,1.0,0.0,25.0,1738.0,0.0,255.0,860.0,319.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618264908,2026-09-05T18:24:24.908,0.0,4.0,0.0,1.0,752.0,14.200000000000001,81.0,2.97,2.97,2.97,2.97,1.0,0.0,483.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.028,0.0,16.0,16.0,-23.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,23.0,23.0,9.1,399.0,357.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,10.100000000000001,1.0,0.0,-24.25,3.4375,4.0,29.1875,-24.25,750.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4980.0,1.0,1.0,0.0,25.0,1382.0,0.0,255.0,860.0,319.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618265415,2026-09-05T18:24:25.415,0.0,4.0,0.0,1.0,756.0,14.200000000000001,81.0,2.95,2.95,2.95,2.95,1.0,0.0,483.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,1.0130000000000001,0.0,16.0,16.0,-24.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,40.0,23.0,23.0,9.200000000000001,399.0,357.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19482.0,10.100000000000001,0.0,0.0,-24.0625,5.3125,4.0,29.0,-24.0625,750.0,0.0,470.0,210.0,1.9000000000000001,0.7000000000000001,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,1.0,4.0,100.0,32.0,105.0,80.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.8000000000000003,5000.0,4990.0,4990.0,1.0,1.0,0.0,25.0,1163.0,0.0,255.0,860.0,320.0,0.0,0.0,1245716.0,3.008,3.0,50.0
1788618265998,2026-09-05T18:24:25.998,0.0,4.0,0.0,1.0,743.0,14.200000000000001,81.0,6.2700000000000005,6.2700000000000005,6.2700000000000005,6.2700000000000005,1.0,0.0,483.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,10.0,0.999,0.0,12.0,7.0,-36.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,39.0,48.0,52.0,32.300000000000004,714.0,735.0,10.0,12.0,1040.0,3950.0,20.0,4.0,94.0,1.0,19482.0,28.8,0.0,0.0,34.375,58.875,58.875,29.5625,34.375,750.0,0.0,890.0,420.0,14.8,13.600000000000001,254.0,20.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,2.0,4.0,100.0,33.0,105.0,80.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.9000000000000004,5000.0,4990.0,4980.0,1.0,1.0,0.0,25.0,4904.0,0.0,255.0,860.0,320.0,0.0,0.0,1245716.0,3.008,3.0,50.0
