time_ms,iso,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,TENSION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,POSPEDACC1,RAPPORT_ENGAGE,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,CONSIGNE_VITESSE_GMV_C5,TEMPERATURE_AIR_EXTERIEUR,PRESSION_ATMOSPHERIQUE
1788926718508,2026-09-09T08:05:18.508,923.0,14.3,15.0,4.65,4.65,4.65,4.65,517.0,434.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,9.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.875,32.375,-32.6875,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926718878,2026-09-09T08:05:18.878,928.0,14.3,15.0,4.57,4.57,4.57,4.57,512.0,444.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,8.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.875,32.375,-32.6875,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926719281,2026-09-09T08:05:19.281,927.0,14.3,15.0,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,512.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,7.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-3.25,32.5,-32.8125,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926719620,2026-09-09T08:05:19.620,922.0,14.3,15.0,4.48,4.48,4.48,4.48,507.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,6.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-3.25,32.5,-32.8125,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926720109,2026-09-09T08:05:20.109,920.0,14.4,15.0,4.45,4.45,4.45,4.45,502.0,434.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,9.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-2.4375,32.4375,-32.75,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926720461,2026-09-09T08:05:20.461,922.0,14.4,15.0,4.46,4.46,4.46,4.46,507.0,449.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,9.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.4375,32.4375,-32.75,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926720912,2026-09-09T08:05:20.912,927.0,14.3,15.0,4.43,4.43,4.43,4.43,502.0,449.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,6.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.5625,32.1875,-32.5,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926721225,2026-09-09T08:05:21.225,920.0,14.200000000000001,15.0,4.38,4.38,4.38,4.38,502.0,449.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,7.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.5625,32.1875,-32.5,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926721583,2026-09-09T08:05:21.583,924.0,14.3,15.0,4.38,4.38,4.38,4.38,498.0,458.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,7.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-2.9375,32.375,-32.6875,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926721917,2026-09-09T08:05:21.917,926.0,14.3,15.0,4.36,4.36,4.36,4.36,493.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,7.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-2.9375,32.375,-32.6875,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926722262,2026-09-09T08:05:22.262,919.0,14.200000000000001,15.0,4.32,4.32,4.32,4.32,493.0,458.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,7.0,0.0,0.0,0.0,0.0,13.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-2.6875,32.4375,-32.75,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926722657,2026-09-09T08:05:22.657,928.0,14.3,15.0,4.3100000000000005,4.3100000000000005,4.3100000000000005,4.3100000000000005,493.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,6.0,0.0,0.0,0.0,0.0,13.0,22.0,22.0,11.0,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-2.6875,32.4375,-32.75,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926723068,2026-09-09T08:05:23.068,921.0,14.3,15.0,4.26,4.26,4.26,4.26,493.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,9.0,0.0,0.0,0.0,0.0,14.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,1.0,-3.0625,32.0625,-32.375,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
1788926723392,2026-09-09T08:05:23.392,923.0,14.3,15.0,4.25,4.25,4.25,4.25,493.0,454.0,1.9839999999993196E-5,1.9839999999993196E-5,24.0,6.0,0.0,0.0,0.0,0.0,14.0,23.0,22.0,10.9,399.0,336.0,3.0,3.0,0.0,0.0,1.0,0.0,-3.0625,32.0625,-32.375,923.0,0.0,0.0,8.0,1.0,0.0,11.0,855.0
