time_ms,iso,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC
1789040086579,2026-09-10T15:34:46.580,747.0,14.200000000000001,66.0,2.21,2.21,2.21,2.21,1.0,1.0,683.0,1.0,0.0,688.0,91.0,96.5,0.0030718399999999924,0.0030718399999999924,15.0,0.999,26.0,16.0,16.0,-14.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4380.0,0.0,0.0,0.0,1.0,19513.0,8.6,1.0,0.0,-29.0,-3.5,-2.8125,29.25,-29.0,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,41.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1664.0,0.0,255.0,854.0,299.0
1789040087178,2026-09-10T15:34:47.178,751.0,14.200000000000001,66.0,2.23,2.23,2.23,2.23,1.0,1.0,703.0,0.0,0.0,170.0,90.5,96.0,-0.0019868500000000122,-0.0019868500000000122,15.0,0.999,26.0,16.0,16.0,-15.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.6,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.5,0.0,0.0,-29.0,-3.5,-2.8125,29.25,-29.0,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,41.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1664.0,0.0,255.0,854.0,299.0
1789040087779,2026-09-10T15:34:47.780,765.0,14.3,66.0,2.22,2.22,2.22,2.22,1.0,1.0,678.0,1.0,0.0,698.0,90.5,95.5,-0.008212930000000007,-0.008212930000000007,14.0,0.999,26.0,16.0,16.0,-14.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.8125,-1.625,-2.3125,29.0625,-28.8125,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,41.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4980.0,1.0,1.0,0.0,33.0,1664.0,0.0,255.0,854.0,299.0
1789040088483,2026-09-10T15:34:48.483,751.0,14.200000000000001,66.0,2.22,2.22,2.22,2.22,1.0,1.0,639.0,1.0,0.0,673.0,90.5,96.0,-0.014049880000000015,-0.014049880000000015,14.0,0.999,26.0,16.0,16.0,-14.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.6,1.0,0.0,-28.8125,-1.625,-2.3125,29.0625,-28.8125,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1397.0,0.0,255.0,854.0,299.0
1789040089083,2026-09-10T15:34:49.084,756.0,14.200000000000001,66.0,2.24,2.24,2.24,2.24,1.0,1.0,620.0,0.0,0.0,122.0,90.5,96.0,-0.010547710000000016,-0.010547710000000016,14.0,0.999,26.0,16.0,16.0,-14.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.4,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.8125,-2.3125,-2.5625,29.0625,-28.8125,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1397.0,0.0,255.0,854.0,299.0
1789040089682,2026-09-10T15:34:49.683,758.0,14.200000000000001,66.0,2.25,2.25,2.25,2.25,1.0,1.0,688.0,1.0,0.0,698.0,90.5,96.0,-0.01677379000000001,-0.01677379000000001,13.0,0.999,26.0,16.0,16.0,-14.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4370.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.8125,-2.3125,-2.5625,29.0625,-28.8125,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1397.0,0.0,255.0,854.0,299.0
1789040090433,2026-09-10T15:34:50.433,759.0,14.200000000000001,66.0,2.24,2.24,2.24,2.24,1.0,1.0,678.0,1.0,0.0,683.0,90.5,96.0,-0.022610740000000018,-0.022610740000000018,13.0,0.999,26.0,16.0,16.0,-14.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.4,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,1.0,0.0,-28.8125,-3.125,-2.5,29.0625,-28.8125,757.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1225.0,0.0,255.0,854.0,299.0
1789040091061,2026-09-10T15:34:51.061,761.0,14.200000000000001,66.0,2.29,2.29,2.29,2.29,0.0,1.0,117.0,0.0,0.0,107.0,90.5,96.0,-0.00558821000000001,-0.00558821000000001,13.0,0.999,26.0,16.0,16.0,-14.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,8.5,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.4,0.0,0.0,-28.8125,-3.125,-2.5,29.0625,-28.8125,756.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1225.0,0.0,255.0,854.0,299.0
1789040091663,2026-09-10T15:34:51.663,753.0,14.200000000000001,66.0,2.2600000000000002,2.2600000000000002,2.2600000000000002,2.2600000000000002,1.0,1.0,703.0,0.0,0.0,268.0,90.5,95.5,-0.021054220000000012,-0.021054220000000012,13.0,0.999,26.0,16.0,16.0,-14.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.5,336.0,336.0,2.0,2.0,600.0,4380.0,0.0,0.0,0.0,1.0,19513.0,8.200000000000001,0.0,0.0,-28.8125,-1.875,-2.3125,29.0625,-28.8125,756.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,42.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1225.0,0.0,255.0,854.0,299.0
1789040092325,2026-09-10T15:34:52.325,759.0,14.200000000000001,66.0,2.24,2.24,2.24,2.24,1.0,1.0,581.0,1.0,0.0,693.0,90.5,95.5,-0.027280300000000007,-0.027280300000000007,14.0,0.999,26.0,16.0,16.0,-15.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,40.0,20.0,21.0,8.6,336.0,336.0,2.0,2.0,600.0,4390.0,0.0,0.0,0.0,1.0,19513.0,8.6,1.0,0.0,-28.8125,-1.875,-2.3125,29.0625,-28.8125,756.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,41.0,8495.0,86.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4.2,5000.0,4990.0,4990.0,1.0,1.0,0.0,33.0,1101.0,0.0,255.0,854.0,299.0
