Date;Time;UpMixCorr;DownMixCorr;UpO2Volt;DownO2Volt;UpO2Heat;DownO2Heat;CanisterValve;BrakePress;IntakeAirPressInstr;IntakeAirPress;ExternalTemp;Inj.1Time;Inj.2Time;Inj.3Time;Inj.4Time;Cyl.Adv;Cyl.1AdvCorr;Cyl.2AdvCorr;Cyl.3AdvCorr;Cyl.4AdvCorr;Battery;Coolant;FanSpeed;AirCPress;Speed;Gear;FuelLevel;AirManifold;AtmosphPress;Revs;AccelPedalPos;KnockSensor;AirFlowInstr;AirFlow;InCamDephaserInstr;InCamDephaser;InCamDephaserValve;Errors;BR;CL;
2026.08.28;12:37:14.1;-0.01;-0.01;668;600;85;94;26;213;357;357;27;2.70;2.70;2.70;2.70;-2;0;0;0;0;14.2;82;26;4.1;0;-;16;31;854;748;0;1183.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:14.5;0.01;0.01;97;83;86;94;26;213;357;357;27;2.73;2.73;2.73;2.73;-2;0;0;0;0;14.2;82;26;4.1;0;-;16;31;854;748;0;1183.0;9.0;8.9;0;0;0;0;0;0;
2026.08.28;12:37:15.0;0.01;0.01;97;83;86;94;26;213;378;357;27;2.73;2.73;2.73;2.73;1;0;0;0;0;14.2;82;26;4.1;0;-;16;31;854;754;0;1239.0;9.1;8.9;0;0;0;0;0;0;
2026.08.28;12:37:15.4;0.02;0.02;151;205;85;94;26;213;378;357;27;2.79;2.79;2.79;2.79;-2;0;0;0;0;14.1;82;26;4.1;0;-;16;31;854;756;0;1309.0;9.1;8.9;0;0;0;0;0;0;
2026.08.28;12:37:15.9;0.03;0.03;112;131;86;94;26;213;357;357;27;2.80;2.80;2.80;2.80;-2;0;0;0;0;14.1;82;26;4.1;0;-;16;31;854;756;0;1309.0;9.0;9.0;0;0;0;0;0;0;
2026.08.28;12:37:16.3;0.03;0.03;112;131;86;94;26;213;357;357;27;2.80;2.80;2.80;2.80;-3;0;0;0;0;14.1;82;26;4.1;0;-;16;31;854;748;0;1166.0;8.9;8.9;0;0;0;0;0;0;
2026.08.28;12:37:16.8;-0.00;-0.00;708;156;86;95;26;213;357;357;27;2.69;2.69;2.69;2.69;-3;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;744;0;1165.0;8.9;8.9;0;0;0;0;0;0;
2026.08.28;12:37:17.2;-0.00;-0.00;708;156;86;95;26;213;357;357;27;2.69;2.69;2.69;2.69;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;744;0;1165.0;8.8;8.9;0;0;0;0;0;0;
2026.08.28;12:37:17.7;0.01;0.01;166;717;86;95;26;213;357;357;27;2.71;2.71;2.71;2.71;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1375.0;9.1;9.1;0;0;0;0;0;0;
2026.08.28;12:37:18.1;0.02;0.02;97;78;86;94;26;213;357;357;27;2.80;2.80;2.80;2.80;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1264.0;9.1;9.1;0;0;0;0;0;0;
2026.08.28;12:37:18.6;0.02;0.02;97;78;86;94;26;213;357;357;27;2.80;2.80;2.80;2.80;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1264.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:19.0;0.02;0.02;136;87;86;95;26;213;357;357;27;2.77;2.77;2.77;2.77;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1402.0;8.9;9.0;0;0;0;0;0;0;
2026.08.28;12:37:19.5;-0.02;-0.02;659;200;86;95;26;213;357;357;27;2.64;2.64;2.64;2.64;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;752;0;1609.0;8.9;9.0;0;0;0;0;0;0;
2026.08.28;12:37:19.9;-0.02;-0.02;659;200;86;95;26;213;378;357;27;2.64;2.64;2.64;2.64;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;752;0;1609.0;9.0;8.8;0;0;0;0;0;0;
2026.08.28;12:37:20.4;-0.01;-0.01;68;97;86;95;26;214;378;357;27;2.70;2.70;2.70;2.70;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;746;0;1120.0;9.0;8.8;0;0;0;0;0;0;
2026.08.28;12:37:20.9;-0.00;-0.00;78;58;85;94;26;214;357;357;27;2.71;2.71;2.71;2.71;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;749;0;1596.0;8.9;9.0;0;1;0;0;0;0;
2026.08.28;12:37:21.3;-0.00;-0.00;78;58;85;94;26;214;357;357;27;2.71;2.71;2.71;2.71;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;749;0;1596.0;9.0;9.1;0;0;0;0;0;0;
2026.08.28;12:37:21.8;0.01;0.01;87;78;87;95;26;214;357;357;27;2.75;2.75;2.75;2.75;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;756;0;1492.0;9.0;9.1;0;0;0;0;0;0;
2026.08.28;12:37:22.2;0.03;0.03;87;83;86;94;25;214;357;357;27;2.76;2.76;2.76;2.76;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;756;0;1492.0;9.0;9.1;0;0;0;0;0;0;
2026.08.28;12:37:22.7;0.03;0.03;87;83;86;94;25;214;357;357;27;2.76;2.76;2.76;2.76;-3;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;759;0;1569.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:23.1;0.01;0.01;615;112;86;95;26;214;357;357;27;2.69;2.69;2.69;2.69;-3;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;750;0;1217.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:23.6;-0.00;-0.00;522;722;87;95;26;214;357;336;27;2.68;2.68;2.68;2.68;-3;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;750;0;1217.0;8.8;8.9;0;0;0;0;0;0;
2026.08.28;12:37:24.0;-0.00;-0.00;522;722;87;95;26;214;357;357;27;2.68;2.68;2.68;2.68;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;747;0;1586.0;8.9;9.0;0;0;0;0;0;0;
2026.08.28;12:37:24.5;0.02;0.02;83;68;86;95;26;214;357;357;27;2.74;2.74;2.74;2.74;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1738.0;8.9;9.0;0;0;0;0;0;0;
2026.08.28;12:37:24.9;0.02;0.02;83;68;86;95;26;214;378;357;27;2.74;2.74;2.74;2.74;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;751;0;1738.0;9.1;9.0;0;0;0;0;0;0;
2026.08.28;12:37:25.4;0.03;0.03;92;78;86;94;26;214;357;357;27;2.78;2.78;2.78;2.78;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;750;0;1145.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:25.8;0.04;0.04;107;87;86;94;26;214;357;357;27;2.74;2.74;2.74;2.74;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;743;0;1251.0;8.8;9.0;0;0;0;0;0;0;
2026.08.28;12:37:26.3;0.07;0.07;356;161;86;95;26;214;357;357;27;2.81;2.81;2.81;2.81;-2;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;743;0;1251.0;8.8;8.9;0;0;0;0;0;0;
2026.08.28;12:37:26.7;0.07;0.07;356;161;86;95;26;214;357;357;27;2.81;2.81;2.81;2.81;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;752;0;1350.0;8.8;8.8;0;0;0;0;0;0;
2026.08.28;12:37:27.2;0.01;0.01;668;737;86;94;26;214;357;357;27;2.68;2.68;2.68;2.68;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;747;0;1654.0;8.8;8.8;0;0;0;0;0;0;
2026.08.28;12:37:27.6;0.03;0.03;92;73;86;95;26;214;357;357;27;2.72;2.72;2.72;2.72;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;747;0;1654.0;8.9;8.9;0;0;0;0;0;0;
2026.08.28;12:37:28.1;0.03;0.03;92;73;86;95;26;214;357;336;27;2.72;2.72;2.72;2.72;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;754;0;1659.0;8.7;8.9;0;0;0;0;0;0;
2026.08.28;12:37:28.5;0.02;0.02;683;136;85;94;26;214;357;336;27;2.73;2.73;2.73;2.73;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;752;0;1208.0;8.7;8.9;0;0;0;0;0;0;
2026.08.28;12:37:29.0;0.01;0.01;664;703;87;96;26;214;357;357;27;2.71;2.71;2.71;2.71;1;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;752;0;1208.0;8.8;8.8;0;0;0;0;0;0;
2026.08.28;12:37:29.4;0.01;0.01;664;703;87;96;26;214;357;357;27;2.71;2.71;2.71;2.71;-4;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;744;0;1205.0;8.8;8.8;0;0;0;0;0;0;
2026.08.28;12:37:29.9;0.03;0.03;141;92;86;94;26;214;357;357;27;2.74;2.74;2.74;2.74;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;755;0;1025.0;8.8;8.8;0;0;0;0;0;0;
2026.08.28;12:37:30.3;0.01;0.01;673;678;85;94;26;214;357;357;27;2.72;2.72;2.72;2.72;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;755;0;1025.0;8.7;8.9;0;0;0;0;0;0;
2026.08.28;12:37:30.8;0.01;0.01;673;678;85;94;26;214;357;336;27;2.72;2.72;2.72;2.72;-3;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;742;0;1258.0;8.8;8.9;0;0;0;0;0;0;
2026.08.28;12:37:31.2;0.01;0.01;683;708;87;95;26;214;357;336;27;2.72;2.72;2.72;2.72;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;744;0;1372.0;8.8;8.9;0;0;0;0;0;0;
2026.08.28;12:37:31.7;0.02;0.02;97;126;86;95;26;214;378;357;27;2.86;2.86;2.86;2.86;0;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;744;0;1372.0;9.1;9.2;0;0;0;0;0;0;
2026.08.28;12:37:32.1;0.02;0.02;97;126;86;95;26;214;357;357;27;2.86;2.86;2.86;2.86;-5;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;756;0;1464.0;8.9;9.1;0;0;0;0;0;0;
2026.08.28;12:37:32.6;0.03;0.03;219;102;85;94;24;214;357;357;27;2.81;2.81;2.81;2.81;-4;0;0;0;0;14.1;83;26;4.1;0;-;16;31;854;756;0;1241.0;8.9;9.1;0;0;0;0;0;0;
